Matched Shingle,Entity,Search Query,Visits,Conversion,Revenue
cropped,Length,cropped,12650,8.80%,"$113,782.65"
shoes,Category,women's shoes,10013,11.09%,"$99,583.00"
long,Length,long sleeve shirt,12667,12.28%,"$129,055.38"
swift speed,Collections,swift speed,10296,11.95%,"$142,810.10"
like a cloud,Collections,like a cloud bra,15823,19.68%,"$204,014.40"
bodysuits,Category,bodysuits,10091,10.06%,"$102,392.30"
running,Activity,running,10219,8.62%,"$70,079.00"
yoga,Activity,yoga pants,11301,10.12%,"$133,717.30"
pants,Category,yoga pants,11301,10.12%,"$133,717.30"
shorts,Category,fast and free shorts,9678,5.95%,"$42,893.60"
everywhere,Collections,everywhere bag,12284,23.63%,"$141,407.00"
pomegranate,Color name,pomegranate,6533,6.14%,"$30,766.00"
swiftly,Collections,swiftly long sleeve,17021,14.83%,"$204,614.30"
long,Length,swiftly long sleeve,17021,14.83%,"$204,614.30"
hotty hot,Collections,"hotty hot 4""",9355,10.90%,"$77,693.60"
"4""",Inseam,"hotty hot 4""",9355,10.90%,"$77,693.60"
dance,Activity,studio dance joggers,16963,15.80%,"$267,057.45"
joggers,Category,studio dance joggers,16963,15.80%,"$267,057.45"
socks,Category,women's socks,16080,29.15%,"$197,707.46"
hotty hot,Collections,hotty hot short,9608,9.30%,"$63,669.30"
short,Length,hotty hot short,9608,9.30%,"$63,669.30"
cropped,Length,cropped tank,7772,6.97%,"$34,183.80"
true navy,Color name,true navy,14467,9.26%,"$121,756.27"
navy,Color Family,true navy,14467,9.26%,"$121,756.27"
scuba,Collections,oversized scuba,12448,12.36%,"$185,386.85"
hats,Category,women's hats,8213,18.97%,"$61,748.70"
align,Collections,align high rise,14820,29.51%,"$443,397.07"
dark red,Color name,dark red,9067,7.47%,"$56,033.65"
red,Color Family,dark red,9067,7.47%,"$56,033.65"
all yours,Collections,all yours t,9515,8.60%,"$53,199.55"
pace breaker,Collections,pace breaker short,10231,16.61%,"$148,167.15"
short,Length,pace breaker short,10231,16.61%,"$148,167.15"
leggings,Category,fast and free leggings,12065,16.39%,"$228,080.85"
red,Color Family,red shorts,8627,8.39%,"$50,616.55"
shorts,Category,red shorts,8627,8.39%,"$50,616.55"
green,Color Family,green jasper,5760,4.18%,"$18,058.55"
green jasper,Color name,green jasper,5760,4.18%,"$18,058.55"
electric lemon,Color name,electric lemon,6117,7.19%,"$27,555.25"
hotty hot,Collections,hotty hot high rise,10529,12.95%,"$98,107.65"
align,Collections,align legging,11910,14.43%,"$175,177.35"
align,Collections,align 23,10300,12.18%,"$120,885.00"
short,Length,biker short,8071,4.80%,"$25,913.35"
dark oxide,Color name,dark oxide,7298,5.06%,"$28,662.50"
cropped,Length,cropped scuba,11672,7.80%,"$103,700.55"
scuba,Collections,cropped scuba,11672,7.80%,"$103,700.55"
